Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
16518,KANNUR,KRANTIVIRA S,578.0,18,15.67
16519,JOLARPETTAI,KRANTIVIRA S,148.0,14,3.58
16520,KRANTIVIRA S,JOLARPETTAI,148.0,13,3.33
16521,BANGARPET JN,KRANTIVIRA S,70.0,6,1.75
16522,KRANTIVIRA S,BANGARPET JN,70.0,6,1.58
16523,MANGALORE CE,KAWR,262.0,12,5.25
16524,KAWR,MANGALORE CE,260.0,12,5.67
16525,KANNIYAKUMAR,KRANTIVIRA S,934.0,44,20.83
16526,KRANTIVIRA S,KANNIYAKUMAR,934.0,47,19.33
16527,YESVANTPUR J,KANNUR,655.0,16,13.33
16528,KANNUR,YESVANTPUR J,654.0,16,13.92
16531,AJMER JN.,KRANTIVIRA S,2213.0,36,47.25
16532,KRANTIVIRA S,AJMER JN.,2201.0,36,48.67
16533,BHAGAT-KI-KO,KRANTIVIRA S,2173.0,28,47.25
16534,KRANTIVIRA S,BHAGAT-KI-KO,2161.0,28,47.75
16535,MYSORE JN.,SOLAPUR,966.0,30,20.67
16536,SOLAPUR,MYSORE JN.,964.0,30,20.83
16557,MYSORE JN.,KRANTIVIRA S,138.0,7,2.67
16558,KRANTIVIRA S,MYSORE JN.,138.0,7,3.0
16565,YESVANTPUR J,MANGALORE CE,833.0,18,17.75
16566,MANGALORE CE,YESVANTPUR J,833.0,18,17.25
16569,YESVANTPUR J,KACHEGUDA,611.0,13,13.0
16570,KACHEGUDA,YESVANTPUR J,599.0,13,13.5
16571,YESVANTPUR J,BIDAR,687.0,16,14.25
16572,BIDAR,YESVANTPUR J,687.0,16,13.58
16573,YESVANTPUR J,PONDICHERRY,453.0,8,10.25
16574,PONDICHERRY,YESVANTPUR J,452.0,8,11.5
16575,YESVANTPUR J,MANGALORE JN,409.0,12,9.75
16576,MANGALORE JN,YESVANTPUR J,394.0,12,9.0
16577,YESVANTPUR J,HARIHAR JN.,333.0,10,7.25
16578,HARIHAR JN.,YESVANTPUR J,332.0,10,6.25
16579,YESVANTPUR J,SHIMOGA TOWN,268.0,7,5.75
16580,SHIMOGA TOWN,YESVANTPUR J,267.0,7,5.5
16581,YESVANTPUR J,SHIMOGA TOWN,268.0,8,6.17
16582,SHIMOGA TOWN,YESVANTPUR J,267.0,8,6.08
16587,YESVANTPUR J,BIKANER JN.,2440.0,33,49.83
16588,BIKANER JN.,YESVANTPUR J,2440.0,32,53.17
16589,KRANTIVIRA S,CHHATRAPATI,797.0,28,16.42
16590,CHHATRAPATI,KRANTIVIRA S,794.0,28,16.67
16591,HUBLI JN.,MYSORE JN.,668.0,28,14.92
16592,MYSORE JN.,HUBLI JN.,668.0,28,15.67
16593,NANDED,KRANTIVIRA S,1021.0,41,23.5
16594,KRANTIVIRA S,NANDED,1021.0,41,24.75
16603,MANGALORE CE,TRIVANDRUM C,620.0,30,13.67
16604,TRIVANDRUM C,MANGALORE CE,619.0,29,12.67
16605,MANGALORE CE,NAGERCOIL JN,691.0,39,15.92
16606,NAGERCOIL JN,MANGALORE CE,689.0,39,15.0
16613,RAJKOT,COIMBATORE,2220.0,33,44.58
16614,COIMBATORE,RAJKOT,2222.0,34,43.5
16615,MANNARGUDI,COIMBATORE,334.0,8,8.5
16616,COIMBATORE,MANNARGUDI,334.0,7,7.17
16617,RAMESWARAM,COIMBATORE,498.0,15,11.67
16618,COIMBATORE,RAMESWARAM,498.0,13,10.75
16629,TRIVANDRUM C,MANGALORE CE,631.0,52,15.5
16630,MANGALORE CE,TRIVANDRUM C,632.0,52,14.92
16649,MANGALORE CE,NAGERCOIL JN,703.0,50,15.5
16650,NAGERCOIL JN,MANGALORE CE,702.0,48,15.92
16687,MANGALORE CE,SHRI MATA VA,3663.0,61,70.25
16688,SHRI MATA VA,MANGALORE CE,3661.0,65,72.83
16723,CHENNAI EGMO,QUILON,858.0,29,17.17
16724,QUILON,CHENNAI EGMO,858.0,30,17.08
16733,RAMESWARAM,OKHA,3177.0,40,63.58
16734,OKHA,RAMESWARAM,3175.0,40,60.25
16779,TIRUPATI,RAMESWARAM,816.0,21,18.58
16780,RAMESWARAM,TIRUPATI,817.0,21,18.25
16787,TIRUNELVELI,ERODE JN.,454.0,9,9.75
16788,ERODE JN.,TIRUNELVELI,454.0,9,9.42
16790,ERODE JN.,TIRUNELVELI,454.0,9,11.25
16791,PUNALUR,PALAKKAD JN,347.0,27,10.0
16792,PALAKKAD JN,PUNALUR,348.0,27,9.42
16793,RAMESWARAM,FAIZABAD JN.,2916.0,18,57.5
16794,FAIZABAD JN.,RAMESWARAM,2912.0,18,55.25
16853,CHENNAI EGMO,TIRUCHIRAPPA,400.0,17,7.75
16854,TIRUCHIRAPPA,CHENNAI EGMO,400.0,17,7.83
16855,PONDICHERRY,MANGALORE CE,796.0,21,16.92
16856,MANGALORE CE,PONDICHERRY,795.0,21,16.92
16857,PONDICHERRY,MANGALORE CE,861.0,17,17.33
16858,MANGALORE CE,PONDICHERRY,861.0,17,16.92
16859,CHENNAI EGMO,MANGALORE CE,983.0,50,22.5
16860,MANGALORE CE,CHENNAI EGMO,982.0,51,21.33
16861,PONDICHERRY,KANNIYAKUMAR,699.0,21,15.5
16862,KANNIYAKUMAR,PONDICHERRY,698.0,21,15.58
16863,BHAGAT-KI-KO,MANNARGUDI,2853.0,41,49.75
16864,MANNARGUDI,BHAGAT-KI-KO,2855.0,40,53.42
17001,SAI NAGAR SH,SECUNDERABAD,771.0,23,15.83
17002,SECUNDERABAD,SAI NAGAR SH,771.0,23,16.63
17009,BIDAR,HYDERABAD DE,163.0,7,3.58
17010,SECUNDERABAD,BIDAR,162.0,7,3.5
17011,HYDERABAD DE,SIRPURKAGHAZ,316.0,19,6.17
17012,SIRPURKAGHAZ,SECUNDERABAD,305.0,18,5.75
17013,PUNE JN.,HYDERABAD DE,639.0,13,14.25
17014,HYDERABAD DE,PUNE JN.,640.0,13,14.5
17015,BHUBANESWAR,SECUNDERABAD,1135.0,39,23.0
17016,SECUNDERABAD,BHUBANESWAR,1135.0,39,22.83
17017,RAJKOT,SECUNDERABAD,1467.0,25,29.08
17018,SECUNDERABAD,RAJKOT,1468.0,26,28.0
