,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
64210,1,11.0,11,11
64211,1,11.0,11,11
64212,1,11.0,11,11
64213,1,11.0,11,11
64214,1,14.0,14,14
64216,1,14.0,14,14
64221,1,20.0,20,20
64222,1,20.0,20,20
64231,1,3.0,3,3
64232,1,3.0,3,3
64234,1,3.0,3,3
64235,1,15.0,15,15
64236,1,15.0,15,15
64251,1,11.0,11,11
64252,1,11.0,11,11
